X,Y,Z
-5.197083313512053,51.71208330712284,0
-5.197083313512053,51.862083306522734,1
-5.197083313512053,51.9120833063227,0
-5.147083313712066,50.01208331392402,1
-5.147083313712066,50.06208331372399,1
-5.147083313712066,50.112083313523954,1
-5.147083313712066,50.16208331332392,1
-5.147083313712066,50.212083313123884,1
-5.147083313712066,50.26208331292385,1
-5.147083313712066,50.312083312723814,1
-5.147083313712066,50.36208331252378,1
-5.147083313712066,50.412083312323745,1
-5.147083313712066,51.71208330712284,1
-5.147083313712066,51.762083306922804,1
-5.147083313712066,51.81208330672277,1
-5.147083313712066,51.862083306522734,1
-5.147083313712066,51.9120833063227,1
-5.09708331391208,50.01208331392402,1
-5.09708331391208,50.06208331372399,1
-5.09708331391208,50.112083313523954,1
-5.09708331391208,50.16208331332392,1
-5.09708331391208,50.212083313123884,1
-5.09708331391208,50.26208331292385,1
-5.09708331391208,50.312083312723814,1
-5.09708331391208,50.36208331252378,1
-5.09708331391208,50.412083312323745,1
-5.09708331391208,51.662083307322874,1
-5.09708331391208,51.71208330712284,1
-5.09708331391208,51.762083306922804,1
-5.09708331391208,51.81208330672277,1
-5.09708331391208,51.9120833063227,1
-5.09708331391208,51.962083306122665,0
-5.047083314112093,50.112083313523954,1
-5.047083314112093,50.16208331332392,1
-5.047083314112093,50.212083313123884,1
-5.047083314112093,50.26208331292385,1
-5.047083314112093,50.312083312723814,1
-5.047083314112093,50.36208331252378,1
-5.047083314112093,50.412083312323745,1
-5.047083314112093,50.46208331212371,1
-5.047083314112093,50.512083311923675,1
-5.047083314112093,51.61208330752291,1
-5.047083314112093,51.662083307322874,1
-5.047083314112093,51.71208330712284,1
-5.047083314112093,51.762083306922804,1
-5.047083314112093,51.81208330672277,0
-5.047083314112093,51.862083306522734,1
-5.047083314112093,51.9120833063227,1
-5.047083314112093,51.962083306122665,1
-4.997083314312107,50.112083313523954,0
-4.997083314312107,50.16208331332392,1
-4.997083314312107,50.212083313123884,1
